Move;value;visited;score
PROPOSE; value 1: 5.595535908308189; round: 20; ; value 2: 7.7987983217299846; round: 20; ; value 3: 8.47591611743022; round: 20; ; value 4: 8.2389416005585; round: 20; ; value 5: 5.917875782479347; round: 20; ; value 6: 4.79251676291109; round: 20; ; value 7: 5.670972858716823; round: 20; ; value 8: 2.1815869130976067; round: 20; ; value 9: 4.536956382105501; round: 20; ; value 10: 1.6232330011627938; round: 20; ;0.5332386599295285;60;0.5332386599295285
PROPOSE; value 1: 7.993571489355526; round: 20; ; value 2: 6.374546627972184; round: 20; ; value 3: 7.383984502829771; round: 20; ; value 4: 7.333131471738595; round: 20; ; value 5: 4.875062504543522; round: 20; ; value 6: 5.738596316461338; round: 20; ; value 7: 1.3352958206895402; round: 20; ; value 8: 0.7491834502740684; round: 20; ; value 9: 7.78758124481241; round: 20; ; value 10: 8.565833211538923; round: 20; ;0.5491409029088842;56;0.5491409029088842
PROPOSE; value 1: 2.680136172169061; round: 20; ; value 2: 0.8864680293024879; round: 20; ; value 3: 1.2788919755703283; round: 20; ; value 4: 1.5152726815679365; round: 20; ; value 5: 8.448349957566947; round: 20; ; value 6: 1.01560359637563; round: 20; ; value 7: 7.509179303282547; round: 20; ; value 8: 4.083345832158831; round: 20; ; value 9: 1.9751206921167266; round: 20; ; value 10: 4.408360743051724; round: 20; ;0.5470667903311451;56;0.5470667903311451
PROPOSE; value 1: 4.2882237890113055; round: 20; ; value 2: 8.67082212471036; round: 20; ; value 3: 6.173655939379312; round: 20; ; value 4: 6.270610846966764; round: 20; ; value 5: 7.505050497989067; round: 20; ; value 6: 6.883059970512402; round: 20; ; value 7: 2.1199591200559915; round: 20; ; value 8: 4.333480687561629; round: 20; ; value 9: 4.0717969020527836; round: 20; ; value 10: 5.275259705998555; round: 20; ;0.5352721238247851;49;0.5352721238247851
PROPOSE; value 1: 7.39703053902116; round: 20; ; value 2: 2.886372070284546; round: 20; ; value 3: 4.688075932437799; round: 20; ; value 4: 4.6281246877717335; round: 20; ; value 5: 2.3692792665243707; round: 20; ; value 6: 4.227502651636479; round: 20; ; value 7: 6.8793944671521405; round: 20; ; value 8: 8.429694072838865; round: 20; ; value 9: 6.032903618563504; round: 20; ; value 10: 6.419225311377376; round: 20; ;0.5169340483056492;52;0.5169340483056492
PROPOSE; value 1: 7.9939562903574215; round: 20; ; value 2: 2.4552610741488565; round: 20; ; value 3: 1.8575812384036618; round: 20; ; value 4: 0.3911062209965851; round: 20; ; value 5: 8.96752733730659; round: 20; ; value 6: 3.8634873758352932; round: 20; ; value 7: 2.0505693267177163; round: 20; ; value 8: 2.5489488959377846; round: 20; ; value 9: 1.1712183204955775; round: 20; ; value 10: 7.434303198358938; round: 20; ;0.6094438207143594;54;0.6094438207143594
PROPOSE; value 1: 7.950860652235058; round: 20; ; value 2: 6.452641549632785; round: 20; ; value 3: 1.209928777313301; round: 20; ; value 4: 0.05318814990132548; round: 20; ; value 5: 0.690887916200336; round: 20; ; value 6: 0.005871215173196553; round: 20; ; value 7: 0.4727490500537219; round: 20; ; value 8: 8.174040574019713; round: 20; ; value 9: 6.17059861422034; round: 20; ; value 10: 2.9579876610680507; round: 20; ;0.5071143043415026;49;0.5071143043415026
PROPOSE; value 1: 5.27798750041512; round: 20; ; value 2: 1.5258660400187924; round: 20; ; value 3: 7.248697634554516; round: 20; ; value 4: 0.7308761231485741; round: 20; ; value 5: 8.123537169886724; round: 20; ; value 6: 6.322270402318346; round: 20; ; value 7: 8.593077832528296; round: 20; ; value 8: 8.054422664930469; round: 20; ; value 9: 1.839471078158096; round: 20; ; value 10: 4.768039980710421; round: 20; ;0.519321160324385;53;0.519321160324385
PROPOSE; value 1: 2.622159026264434; round: 20; ; value 2: 8.16416863452892; round: 20; ; value 3: 7.7027219700226945; round: 20; ; value 4: 0.7064702286649989; round: 20; ; value 5: 6.00228419774785; round: 20; ; value 6: 6.662994189514694; round: 20; ; value 7: 0.8163497630942084; round: 20; ; value 8: 8.214639030091076; round: 20; ; value 9: 1.0991604897478908; round: 20; ; value 10: 8.523799960793545; round: 20; ;0.5433042129435462;54;0.5433042129435462
PROPOSE; value 1: 4.010671421251662; round: 20; ; value 2: 4.1540670364696695; round: 20; ; value 3: 3.774550926018791; round: 20; ; value 4: 2.9936091373618137; round: 20; ; value 5: 7.978049026911592; round: 20; ; value 6: 7.4938710384731895; round: 20; ; value 7: 7.729035546717876; round: 20; ; value 8: 5.670423355777354; round: 20; ; value 9: 0.7123020205579631; round: 20; ; value 10: 1.014723882669378; round: 20; ;0.5431114879777483;49;0.5431114879777483
PROPOSE; value 1: 1.8101011381467007; round: 20; ; value 2: 5.213782239928241; round: 20; ; value 3: 1.37168136699822; round: 20; ; value 4: 1.206021033952279; round: 20; ; value 5: 5.99164279558329; round: 20; ; value 6: 8.430725649920987; round: 20; ; value 7: 1.453990537085705; round: 20; ; value 8: 7.608476015883985; round: 20; ; value 9: 6.627955371941299; round: 20; ; value 10: 3.1828784910750163; round: 20; ;0.532082884023901;52;0.532082884023901
PROPOSE; value 1: 0.13052829010659595; round: 20; ; value 2: 1.8677398080042384; round: 20; ; value 3: 5.794460199324881; round: 20; ; value 4: 6.8436140442697315; round: 20; ; value 5: 3.747461603368241; round: 20; ; value 6: 8.636109942467048; round: 20; ; value 7: 4.20227916446367; round: 20; ; value 8: 5.681508591356238; round: 20; ; value 9: 7.2240005904399585; round: 20; ; value 10: 3.3145993850920945; round: 20; ;0.5489252117288931;51;0.5489252117288931
PROPOSE; value 1: 0.21487330057290177; round: 20; ; value 2: 5.220126288354481; round: 20; ; value 3: 4.416267456728017; round: 20; ; value 4: 0.5708015660635523; round: 20; ; value 5: 2.6875912350023903; round: 20; ; value 6: 7.5993372644973345; round: 20; ; value 7: 6.406149931955616; round: 20; ; value 8: 2.2524838473233864; round: 20; ; value 9: 1.6586874312640303; round: 20; ; value 10: 4.117422094728224; round: 20; ;0.5328013864259794;53;0.5328013864259794
PROPOSE; value 1: 5.625562776253211; round: 20; ; value 2: 1.3211206979147618; round: 20; ; value 3: 4.922854221962758; round: 20; ; value 4: 1.8330295839869852; round: 20; ; value 5: 4.65542459821474; round: 20; ; value 6: 4.623923945460969; round: 20; ; value 7: 7.33824333246779; round: 20; ; value 8: 4.7704099628198815; round: 20; ; value 9: 3.364107657477072; round: 20; ; value 10: 0.4874798700622426; round: 20; ;0.5436299784046766;54;0.5436299784046766
PROPOSE; value 1: 8.259418143958602; round: 20; ; value 2: 7.4717632457141905; round: 20; ; value 3: 7.486312960804889; round: 20; ; value 4: 1.5162067090610336; round: 20; ; value 5: 3.123462909582143; round: 20; ; value 6: 0.7486499719298053; round: 20; ; value 7: 7.079320455966078; round: 20; ; value 8: 3.607485022734973; round: 20; ; value 9: 3.532885979601734; round: 20; ; value 10: 7.859541576026198; round: 20; ;0.5545683831984025;53;0.5545683831984025
